BankName,City,ST,CERT,AcquiringInstitution,ClosingDate,UpdatedDate
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,5-Jun-09,31-Jan-19
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,5-Aug-11,20-Oct-16
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,6-Nov-03
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,23-Sep-11,29-Jan-19
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,27-Apr-12,29-Jan-19
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,9-Aug-13,21-Feb-18
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,5-Aug-11,29-Jan-19
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,10-Jul-09,12-Jul-18
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,1-Feb-19
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",27-Jan-12,7-Dec-15
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",17-Jul-09,15-Jul-18
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,29-Jul-11,29-Jan-19
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",31-May-13,29-Jan-19
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,21-May-09,1-Feb-19
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,1-Feb-19
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,29-Jan-19
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,15-Jan-13
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,30-Jul-10,12-Dec-16
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,7-Aug-18
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,13-Feb-18
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,1-Feb-19
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,14-Oct-11,11-Oct-18
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),28-Aug-09,1-Feb-19
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,17-Sep-10,20-Aug-12
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,11-Sep-09,20-Oct-16
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,31-Jan-19
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,31-Jan-19
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,13-May-19
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,1-Feb-19
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,19-Aug-14
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,10-Apr-17
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,21-Aug-09,20-Feb-18
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,29-Jan-19
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,8-Jun-12,29-Jan-19
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,31-Jan-19
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,31-Jan-19
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,14-May-13,7-Dec-15
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,24-Feb-12,29-Jan-19
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,6-Jun-16
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,5-Feb-15
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,1-Feb-19
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,13-May-19
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,31-Jan-19
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,6-Jun-16
Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,1-Feb-19
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,9-Apr-19
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,29-Jan-19
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,21-Sep-15
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,19-Apr-13,21-Sep-15
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,31-Jan-19
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,10-May-18
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,7-Jan-18
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,1-May-09,1-Feb-19
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2-Nov-12,13-Feb-18
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,1-Feb-19
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,22-May-09,1-Feb-19
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,1-Feb-19
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,31-Jan-19
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",6-May-11,21-Sep-15
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,30-Jul-10,9-Feb-17
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",14-Aug-09,1-Feb-19
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,8-Jul-11,10-Nov-16
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,12-Dec-16
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,10-May-18
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,10-Nov-16
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,22-Aug-08,31-Jan-19
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,21-Dec-17
Community Bank,Loganville,GA,16490,Bank of Essex,21-Nov-08,31-Jan-19
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,31-Jan-19
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,14-Aug-09,1-Feb-19
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,1-Feb-19
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,1-Feb-19
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,29-Jan-19
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,14-Dec-12,29-Jan-19
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,31-Jan-19
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,29-Jan-19
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,6-Jan-16
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,29-Apr-11,20-Feb-18
Community First Bank,Prineville,OR,23268,Home Federal Bank,7-Aug-09,6-Jun-18
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,4-Feb-11,13-Apr-18
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,10-Nov-16
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,11-Jul-16
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",7-Aug-09,1-Feb-19
Community Security Bank,New Prague,MN,34486,Roundbank,23-Jul-10,4-Feb-16
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",23-Aug-13,29-Jan-19
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,6-Jun-16
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,14-Feb-12
Cooperative Bank,Wilmington,NC,27837,First Bank,19-Jun-09,12-Mar-18
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",12-Nov-10,29-Jan-19
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,1-Feb-19
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,8-Aug-16
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",11-Sep-09,1-Feb-19
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,14-Oct-11,29-Jan-19
County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,1-Feb-19
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,15-Feb-13,21-Sep-15
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",23-Mar-12,29-Jan-19
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2-Sep-11,23-Jun-17
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,23-Jul-10,29-Jan-19
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,12-Nov-10,29-Jan-19
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,21-Oct-11,21-Mar-14
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,31-Jan-19
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,9-Apr-08
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,29-Jan-19
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,26-Apr-13,25-Apr-14
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,25-Jan-08,26-Oct-12
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,1-Feb-19
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,20-Oct-16
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",14-Aug-09,1-Feb-19
Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,29-Jan-19
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,6-Oct-17
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",21-Aug-09,1-Feb-19
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,8-May-15,29-Jan-19
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,29-Jan-19
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,31-Jan-19
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,12-Jul-18
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,29-Jan-19
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,19-Oct-12,7-Aug-18
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,20-Oct-04
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,8-Jun-12,13-May-19
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,29-Jan-19
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,30-Mar-12,10-Jul-18
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,18-Feb-03
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,29-Jan-19
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,31-Jan-19
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",24-Apr-09,1-Feb-19
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,22-Oct-10,29-Jan-19
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,4-Sep-09,21-Aug-12
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,31-Jul-09,1-Feb-19
First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,29-Jan-19
First Capital Bank,Kingfisher,OK,416,F & M Bank,8-Jun-12,5-Feb-15
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,20-Jul-12,6-Oct-17
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,8-Jul-11,29-Jan-19
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,19-Aug-11,5-Feb-15
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,29-Apr-11,21-Sep-15
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,17-Sep-10,6-Oct-17
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,7-Sep-12,10-Jul-18
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,6-Jun-16
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,17-Jun-11,12-Sep-16
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",28-Jan-11,29-Jan-19
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2-Aug-13,9-Feb-17
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,6-May-16,13-Nov-18
First Coweta Bank,Newnan,GA,57702,United Bank,21-Aug-09,7-Dec-15
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,1-Feb-19
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,19-Oct-12,6-Jan-16
First Federal Bank,Lexington,KY,29594,Your Community Bank,19-Apr-13,12-Dec-16
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,1-Feb-19
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,31-Jan-19
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",20-May-11,29-Jan-19
First Georgia Community Bank,Jackson,GA,34301,United Bank,5-Dec-08,31-Jan-19
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,11-Jul-16
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,27-May-11,23-Oct-17
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,12-Sep-16
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,30-May-08,20-Oct-16
First International Bank,Plano,TX,33513,American First National Bank,30-Sep-11,5-Feb-15
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,21-Mar-14
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,31-Jan-19
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,20-Feb-18
First National Bank also operating as The National Bank of El Paso ,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,27-May-15
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,19-Jun-09,21-Sep-15
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,5-Jun-12
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,4-May-16
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,16-Jan-15,15-Nov-17
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2-Jul-09,1-Feb-19
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,11-Mar-11,29-Jan-19
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,29-Jan-10,22-Feb-18
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,25-Jul-08,31-Jan-19
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,31-Jan-19
First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,29-Jan-19
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",15-Jul-11,12-Jul-16
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,17-Jul-09,8-Aug-16
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,1-Aug-08,12-Dec-16
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,31-Jan-19
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,17-Oct-15
First Southern Bank,Batesville,AR,58052,Southern Bank,17-Dec-10,29-Jan-19
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,19-Aug-11,19-Feb-18
First State Bank,Cranford,NJ,58046,Northfield Bank,14-Oct-11,23-Oct-17
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,4-Sep-09,5-Feb-15
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",7-Aug-09,1-Feb-19
First State Bank of Altus,Altus,OK,9873,Herring Bank,31-Jul-09,1-Feb-19
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2-Jul-09,1-Feb-19
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,22-Oct-10,21-Feb-18
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",28-Sep-12,12-Oct-18
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,29-Jan-19
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,6-Feb-09,1-Feb-19
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,1-Feb-19
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,29-Jan-19
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,5-Feb-15
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,31-Jan-19
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,20-Apr-12,29-Jan-19
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2-Jul-09,31-Jan-19
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,7-Nov-08,31-Jan-19
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,31-Oct-08,31-Jan-19
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,31-Jan-19
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,8-Mar-13,13-Nov-17
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,31-Jan-19
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10-Nov-16
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,22-Aug-12
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,31-Jan-19
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,20-Jul-12,6-Feb-19
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",25-Sep-09,1-Feb-19
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,13-Jul-12,19-Aug-14
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2-Mar-12,29-Jan-19
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",5-Apr-13,6-Oct-17
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,7-Sep-17
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,17-Apr-09,10-Jul-18
Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,1-Feb-19
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,12-Dec-16
Guaranty Bank,Austin,TX,32618,BBVA Compass,21-Aug-09,1-Feb-19
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,22-Mar-18
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,17-Apr-18
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,19-Nov-10,12-Dec-16
GulfSouth Private Bank,Destin,FL,58073,SmartBank,19-Oct-12,29-Jan-19
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,29-Jan-19
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,21-Sep-15
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,27-Apr-12,21-Sep-15
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,13-Jan-17,18-May-17
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",12-Dec-08,1-Feb-19
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,24-Sep-10,11-Jul-16
Heartland Bank,Leawood,KS,1361,Metcalf Bank,20-Jul-12,29-Jan-19
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2-Nov-12,29-Jan-19
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,19-Apr-13,29-Jan-19
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,15-Apr-11,29-Jan-19
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",27-Feb-09,1-Feb-19
High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,8-Jun-18
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,15-Jul-11,29-Jan-19
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",23-Jan-15,15-Nov-17
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",22-Oct-10,29-Jan-19
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,23-Oct-09,1-Feb-19
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,1-Feb-19
Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,12-Dec-16
Home Savings of America,Little Falls,MN,29178,No Acquirer,24-Feb-12,29-Jan-19
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,23-Jul-10,10-Sep-18
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",16-Nov-12,6-Oct-17
